resume_id,job_id,job_title,relevance
resume_1,job_0,Database Administrator,2
resume_1,job_1,Oracle Database Administrator,2
resume_1,job_2,Amazon Redshift Administrator / Etl Developer,0
resume_1,job_3,Scrum Master,2
resume_1,job_4,Database Administrator / Developer,3
resume_1,job_5,Database Administrator / Database Developer,2
resume_1,job_6,Sql Database Administrator / Sql Dba,0
resume_1,job_7,Sql Dba / Database Administrator,0
resume_1,job_8,Sql Database Administrator / Developer,2
resume_1,job_9,Sql Server Database Administrator,0
resume_1,job_10,Sql Developer / Dba,2
resume_1,job_11,Systems Administrator,2
resume_1,job_12,Csr,0
resume_1,job_13,Dba / Database Administrator,0
resume_1,job_14,Enterprise Database Administrator,2
resume_1,job_15,Sql Database Administrator,0
resume_1,job_16,Project Manager,2
resume_1,job_17,Business Analyst,1
resume_1,job_18,Sql Server Dba,1
resume_1,job_19,Business Intelligence Database Administrator,0
resume_2,job_0,Database Administrator,3
resume_2,job_1,Oracle Database Administrator,2
resume_2,job_2,Amazon Redshift Administrator / Etl Developer,2
resume_2,job_3,Scrum Master,0
resume_2,job_4,Database Administrator / Developer,0
resume_2,job_5,Database Administrator / Database Developer,1
resume_2,job_6,Sql Database Administrator / Sql Dba,1
resume_2,job_7,Sql Dba / Database Administrator,1
resume_2,job_8,Sql Database Administrator / Developer,0
resume_2,job_9,Sql Server Database Administrator,3
resume_2,job_10,Sql Developer / Dba,0
resume_2,job_11,Systems Administrator,2
resume_2,job_12,Csr,1
resume_2,job_13,Dba / Database Administrator,0
resume_2,job_14,Enterprise Database Administrator,1
resume_2,job_15,Sql Database Administrator,0
resume_2,job_16,Project Manager,1
resume_2,job_17,Business Analyst,1
resume_2,job_18,Sql Server Dba,0
resume_2,job_19,Business Intelligence Database Administrator,1
resume_3,job_0,Database Administrator,1
resume_3,job_1,Oracle Database Administrator,0
resume_3,job_2,Amazon Redshift Administrator / Etl Developer,0
resume_3,job_3,Scrum Master,1
resume_3,job_4,Database Administrator / Developer,1
resume_3,job_5,Database Administrator / Database Developer,1
resume_3,job_6,Sql Database Administrator / Sql Dba,1
resume_3,job_7,Sql Dba / Database Administrator,2
resume_3,job_8,Sql Database Administrator / Developer,0
resume_3,job_9,Sql Server Database Administrator,0
resume_3,job_10,Sql Developer / Dba,3
resume_3,job_11,Systems Administrator,1
resume_3,job_12,Csr,3
resume_3,job_13,Dba / Database Administrator,0
resume_3,job_14,Enterprise Database Administrator,2
resume_3,job_15,Sql Database Administrator,3
resume_3,job_16,Project Manager,2
resume_3,job_17,Business Analyst,3
resume_3,job_18,Sql Server Dba,2
resume_3,job_19,Business Intelligence Database Administrator,2
resume_4,job_0,Database Administrator,1
resume_4,job_1,Oracle Database Administrator,3
resume_4,job_2,Amazon Redshift Administrator / Etl Developer,1
resume_4,job_3,Scrum Master,0
resume_4,job_4,Database Administrator / Developer,1
resume_4,job_5,Database Administrator / Database Developer,0
resume_4,job_6,Sql Database Administrator / Sql Dba,1
resume_4,job_7,Sql Dba / Database Administrator,0
resume_4,job_8,Sql Database Administrator / Developer,0
resume_4,job_9,Sql Server Database Administrator,2
resume_4,job_10,Sql Developer / Dba,3
resume_4,job_11,Systems Administrator,0
resume_4,job_12,Csr,0
resume_4,job_13,Dba / Database Administrator,2
resume_4,job_14,Enterprise Database Administrator,0
resume_4,job_15,Sql Database Administrator,2
resume_4,job_16,Project Manager,0
resume_4,job_17,Business Analyst,1
resume_4,job_18,Sql Server Dba,3
resume_4,job_19,Business Intelligence Database Administrator,3
resume_5,job_0,Database Administrator,3
resume_5,job_1,Oracle Database Administrator,2
resume_5,job_2,Amazon Redshift Administrator / Etl Developer,2
resume_5,job_3,Scrum Master,2
resume_5,job_4,Database Administrator / Developer,0
resume_5,job_5,Database Administrator / Database Developer,1
resume_5,job_6,Sql Database Administrator / Sql Dba,2
resume_5,job_7,Sql Dba / Database Administrator,0
resume_5,job_8,Sql Database Administrator / Developer,1
resume_5,job_9,Sql Server Database Administrator,2
resume_5,job_10,Sql Developer / Dba,2
resume_5,job_11,Systems Administrator,0
resume_5,job_12,Csr,0
resume_5,job_13,Dba / Database Administrator,0
resume_5,job_14,Enterprise Database Administrator,3
resume_5,job_15,Sql Database Administrator,1
resume_5,job_16,Project Manager,0
resume_5,job_17,Business Analyst,1
resume_5,job_18,Sql Server Dba,0
resume_5,job_19,Business Intelligence Database Administrator,2
resume_6,job_0,Database Administrator,0
resume_6,job_1,Oracle Database Administrator,0
resume_6,job_2,Amazon Redshift Administrator / Etl Developer,1
resume_6,job_3,Scrum Master,0
resume_6,job_4,Database Administrator / Developer,1
resume_6,job_5,Database Administrator / Database Developer,2
resume_6,job_6,Sql Database Administrator / Sql Dba,0
resume_6,job_7,Sql Dba / Database Administrator,0
resume_6,job_8,Sql Database Administrator / Developer,1
resume_6,job_9,Sql Server Database Administrator,0
resume_6,job_10,Sql Developer / Dba,2
resume_6,job_11,Systems Administrator,2
resume_6,job_12,Csr,1
resume_6,job_13,Dba / Database Administrator,0
resume_6,job_14,Enterprise Database Administrator,0
resume_6,job_15,Sql Database Administrator,0
resume_6,job_16,Project Manager,0
resume_6,job_17,Business Analyst,2
resume_6,job_18,Sql Server Dba,1
resume_6,job_19,Business Intelligence Database Administrator,1
resume_7,job_0,Database Administrator,0
resume_7,job_1,Oracle Database Administrator,3
resume_7,job_2,Amazon Redshift Administrator / Etl Developer,1
resume_7,job_3,Scrum Master,0
resume_7,job_4,Database Administrator / Developer,1
resume_7,job_5,Database Administrator / Database Developer,2
resume_7,job_6,Sql Database Administrator / Sql Dba,2
resume_7,job_7,Sql Dba / Database Administrator,1
resume_7,job_8,Sql Database Administrator / Developer,1
resume_7,job_9,Sql Server Database Administrator,0
resume_7,job_10,Sql Developer / Dba,1
resume_7,job_11,Systems Administrator,2
resume_7,job_12,Csr,0
resume_7,job_13,Dba / Database Administrator,0
resume_7,job_14,Enterprise Database Administrator,3
resume_7,job_15,Sql Database Administrator,2
resume_7,job_16,Project Manager,0
resume_7,job_17,Business Analyst,2
resume_7,job_18,Sql Server Dba,1
resume_7,job_19,Business Intelligence Database Administrator,0
resume_8,job_0,Database Administrator,0
resume_8,job_1,Oracle Database Administrator,0
resume_8,job_2,Amazon Redshift Administrator / Etl Developer,0
resume_8,job_3,Scrum Master,0
resume_8,job_4,Database Administrator / Developer,1
resume_8,job_5,Database Administrator / Database Developer,0
resume_8,job_6,Sql Database Administrator / Sql Dba,0
resume_8,job_7,Sql Dba / Database Administrator,3
resume_8,job_8,Sql Database Administrator / Developer,0
resume_8,job_9,Sql Server Database Administrator,0
resume_8,job_10,Sql Developer / Dba,3
resume_8,job_11,Systems Administrator,0
resume_8,job_12,Csr,3
resume_8,job_13,Dba / Database Administrator,3
resume_8,job_14,Enterprise Database Administrator,1
resume_8,job_15,Sql Database Administrator,0
resume_8,job_16,Project Manager,0
resume_8,job_17,Business Analyst,1
resume_8,job_18,Sql Server Dba,2
resume_8,job_19,Business Intelligence Database Administrator,2
resume_9,job_0,Database Administrator,1
resume_9,job_1,Oracle Database Administrator,0
resume_9,job_2,Amazon Redshift Administrator / Etl Developer,3
resume_9,job_3,Scrum Master,2
resume_9,job_4,Database Administrator / Developer,2
resume_9,job_5,Database Administrator / Database Developer,3
resume_9,job_6,Sql Database Administrator / Sql Dba,0
resume_9,job_7,Sql Dba / Database Administrator,2
resume_9,job_8,Sql Database Administrator / Developer,3
resume_9,job_9,Sql Server Database Administrator,0
resume_9,job_10,Sql Developer / Dba,1
resume_9,job_11,Systems Administrator,0
resume_9,job_12,Csr,1
resume_9,job_13,Dba / Database Administrator,0
resume_9,job_14,Enterprise Database Administrator,2
resume_9,job_15,Sql Database Administrator,2
resume_9,job_16,Project Manager,0
resume_9,job_17,Business Analyst,1
resume_9,job_18,Sql Server Dba,2
resume_9,job_19,Business Intelligence Database Administrator,0
resume_10,job_0,Database Administrator,1
resume_10,job_1,Oracle Database Administrator,0
resume_10,job_2,Amazon Redshift Administrator / Etl Developer,1
resume_10,job_3,Scrum Master,2
resume_10,job_4,Database Administrator / Developer,1
resume_10,job_5,Database Administrator / Database Developer,2
resume_10,job_6,Sql Database Administrator / Sql Dba,0
resume_10,job_7,Sql Dba / Database Administrator,1
resume_10,job_8,Sql Database Administrator / Developer,0
resume_10,job_9,Sql Server Database Administrator,1
resume_10,job_10,Sql Developer / Dba,3
resume_10,job_11,Systems Administrator,3
resume_10,job_12,Csr,1
resume_10,job_13,Dba / Database Administrator,0
resume_10,job_14,Enterprise Database Administrator,0
resume_10,job_15,Sql Database Administrator,2
resume_10,job_16,Project Manager,0
resume_10,job_17,Business Analyst,0
resume_10,job_18,Sql Server Dba,0
resume_10,job_19,Business Intelligence Database Administrator,0
