cv_file,match_title,similarity,match_details
CV1_Junior Web Developer.pdf,Frontend Developer,71.31999969482422,"Over 7 years of extensive experience as Front- End Web Developer specializing in responsive web design development; Presenting in all phases of SDLC like Requirement Analysis, Design, Development, Imp"
CV1_Junior Web Developer.pdf,Frontend Web Developer,70.31999969482422,14 years of programming experience in Web development; 10 years of professional experience in developing User Interface for web applications and for some desktop applications; Designing web applicatio
CV1_Junior Web Developer.pdf,PHP / MySQL Developer,70.01000213623047,"Over 8 years of experience as PHP Developer and Front-End Developer; Solid knowledge in MVC (Model View Controller) Framework using Laravel and Symfony Framework; Experienced in MEAN (MongoDB, Express"
CV1_Junior Web Developer.pdf,UI Frontend Developer,69.9000015258789,"Over 6+ years of experience in developing an application using JavaScript, Reactjs HTML5 /DHTML, DOM, XHTML, jQuery, CSS3, and Ajax; Experience in Software life cycle phases like Requirement Analysis,"
CV1_Junior Web Developer.pdf,ReactJS Developer,69.56999969482422,"6+ Years of Experience as a User Interface/ Front End Developer (UX); Developing web applications using HTML 4/5, CSS 2/3, XHTML, XML, Bootstrap, Java Script, jQuery, PHP, AngularJS, Angular5, React, "
CV2_Data Analyst Intern.pdf,Data Analyst,68.83999633789062,"Created visually impactful Custom Reports and Dashboards; Conducted Statistical Analysis and Predictive Analysis; Linked DART Application to Python pandas, Microsoft Power BI and Google Analytics; Dev"
CV2_Data Analyst Intern.pdf,Analyst,68.4800033569336,Network analysis; Security; Data mining; Drafting; Collection; Training; Excel; Management; Database | AnalystAnalystAnalyst | Research; Coordination; Regional expertise; Data mining; Quality control;
CV2_Data Analyst Intern.pdf,Business Analyst,67.79000091552734,"Academically trained engineer self-taught in Data Science, Machine Learning, and Programming to transition into Big Data; Skilled in C++, MATLAB, Python, SQL, Mathematica and familiar with matplotlib "
CV2_Data Analyst Intern.pdf,Data Scientist,67.52999877929688,Data Profiling; Big Data processing; Data Mart design; Data Modeling; Machine Learning; Data Cleaning; Data Visualization; Text Analytics; Sentiment Analysis; Data Warehousing; ETL/ELT; Business Intel
CV2_Data Analyst Intern.pdf,Database Administrator,67.4800033569336,Analytical; Programming; Application development; Authorized to work in the US for any employer; Business intelligence; Database; Excel; Ms sql server; Sql; Sql Server; DBA; Oracle Dba; ETL; Sql Dba; 
CV3_Backend Dev.pdf,MEAN Stack Developer,72.5199966430664,"Extensive experience in Front-end and Full-Stack development (MEAN Stack); Experience with MVMM frameworks - Angular 7,4,2 and MVC frameworks: - AngularJS; Proficient in web markup including HTML/HTML"
CV3_Backend Dev.pdf,Frontend Developer,71.23999786376953,"Over 7 years of extensive experience as Front- End Web Developer specializing in responsive web design development; Presenting in all phases of SDLC like Requirement Analysis, Design, Development, Imp"
